;binary_insert_sort;qsort;bubble_sort_slow;bubble_sort_fast;bubble_sort_bin;insertion_sort;merge_sort;
500;3802;4058;249500;124399;96070;124838;3841;
800;6633;7690;639200;318325;246064;319020;6705;
1000;8588;9276;999000;497670;358254;475668;8736;
2700;27009;27486;7287300;3641439;2722247;3593808;27425;
5000;54525;55703;24995000;12483639;9428497;12513076;55251;
